Rank	Player Name	Team	Points	Errors	Attempts	Average per match	Success %	Total
1	Ndiaye	FRA	190	75	179	15.83	42.79	444
2	B. Martinez	DOM	181	40	200	15.08	42.99	421
3	Wu M.J.	CHN	178	47	177	17.80	44.28	402
4	Alsmeier	GER	170	57	162	14.17	43.70	389
5	Wada	JPN	166	47	146	13.83	46.24	359
6	Gaila	DOM	162	58	183	13.50	40.20	403
6	Brancuska	CZE	162	38	164	13.50	44.51	364
7	Yoshino	JPN	158	55	150	13.17	43.53	363
8	Zhuang Y.S.	CHN	157	43	208	14.27	38.48	408
9	Dambrink	NED	152	50	145	12.67	43.80	347
10	Ana Cristina	BRA	147	28	121	14.70	49.66	296
11	Ishikawa	JPN	146	43	152	12.17	42.82	341
12	Egonu	ITA	145	42	123	12.08	46.77	310
13	K. Pimpichaya	THA	144	53	159	13.09	40.45	356
14	Cazaute	FRA	143	51	151	17.88	41.45	345
15	Mlejnkova	CZE	140	41	195	11.67	37.23	376
15	Sohwi	KOR	140	61	233	11.67	32.26	434
16	Stysiak	POL	137	47	137	11.42	42.68	321
17	Martin	BEL	135	47	163	11.25	39.13	345
18	Bergmann	BRA	134	45	150	11.17	40.73	329
19	Milanova A.	BUL	129	55	163	10.75	37.18	347
20	Herbots	BEL	124	48	192	15.50	34.07	364
21	Ivanović	SRB	120	57	127	10.00	39.47	304
22	Eggleston	USA	117	41	121	10.64	41.94	279
23	Grozer	CZE	111	48	196	9.25	31.27	355
24	Łukasik	POL	108	30	125	9.00	41.06	263
25	Uzelac	SRB	106	35	114	13.25	41.57	255
26	Seoyoung	KOR	104	56	175	8.67	31.04	335
27	Gong X.Y.	CHN	102	18	114	9.27	43.59	234
28	Atanasijević	BUL	98	35	132	12.25	36.98	265
28	Johnson	CAN	98	38	141	8.91	35.38	277
29	Franklin	USA	97	28	126	8.82	38.65	251
30	Yaprak	TUR	96	25	103	8.00	42.86	224
31	Vargas	TUR	95	32	123	11.88	38.00	250
32	Smarzek	POL	94	25	77	7.83	47.96	196
33	M. Skinner	USA	93	49	77	9.30	42.47	219
34	Mitrovic	CAN	91	29	120	8.27	37.92	240
35	Jehlarova	CZE	87	29	76	7.25	45.31	192
36	Vos	NED	86	45	110	7.17	35.68	241
37	S. Warisara	THA	85	28	150	7.73	32.32	263
37	Fahr	ITA	85	11	51	7.08	57.82	147
38	Degradi	ITA	84	23	105	7.00	39.62	212
38	Karakurt	TUR	84	31	83	10.50	42.42	198
39	Antropova	ITA	83	18	54	10.38	53.55	155
40	Peña Isabel	DOM	82	40	136	6.83	31.78	258
40	Stoyanova	BUL	82	40	118	6.83	34.17	240
41	Weitzel	GER	81	9	62	6.75	53.29	152
42	Haewegene	FRA	80	34	83	6.67	40.61	197
42	Kok	NED	80	38	119	6.67	33.76	237
42	Seonwoo	KOR	80	60	116	6.67	31.25	256
43	Weske	GER	79	37	105	6.58	35.75	221
44	Kindermann	GER	78	40	104	6.50	35.14	222
45	N. Thatdao	THA	75	12	85	6.82	43.60	172
45	Czyrniańska	POL	75	22	91	6.25	39.89	188
45	Guezen	CAN	75	34	91	6.82	37.50	200
46	J. Martinez	DOM	74	15	52	6.17	52.48	141
47	Karutasu	TUR	73	19	64	18.25	46.79	156
47	Smrek	CAN	73	36	99	6.64	35.10	208
47	Maglio	CAN	73	11	65	6.64	48.99	149
48	Van De Vosse	NED	70	24	73	5.83	41.92	167
48	Bukilić	SRB	70	41	71	5.83	38.46	182
48	Bošković	SRB	70	21	57	17.50	47.30	148
49	Dimitrova N.	BUL	69	19	41	8.62	53.49	129
49	Van Ryk	CAN	69	34	35	17.25	50.00	138
50	Wang Y.Y.	CHN	67	15	57	6.09	48.20	139
51	Stuut	NED	65	18	64	5.42	44.22	147
51	Shimamura	JPN	65	9	50	6.50	52.42	124
52	Dangubić	SRB	63	25	91	5.25	35.20	179
53	Korneluk	POL	62	12	35	5.17	56.88	109
53	Lemmens	BEL	62	17	54	5.17	46.62	133
53	Kurtagić	SRB	62	22	51	5.17	45.93	135
54	Vuchkova	BUL	61	14	55	7.62	46.92	130
55	S. Thanacha	THA	60	22	77	5.45	37.74	159
55	Julia	BRA	60	11	33	5.00	57.69	104
56	Baladın	TUR	59	23	55	7.38	43.07	137
56	Aleksić	SRB	59	11	38	7.38	54.63	108
57	Rotar	FRA	56	21	86	4.67	34.36	163
58	Daalderop	NED	55	15	89	4.58	34.59	159
58	Dahyeon	KOR	55	14	56	4.58	44.00	125
59	A. Skinner	USA	54	19	47	18.00	45.00	120
60	Bukovska	CZE	53	24	56	4.42	39.85	133
60	Thokbuom	CAN	53	11	28	5.30	57.61	92
60	Gabi	BRA	53	18	71	8.83	37.32	142
61	Radovic	BEL	52	40	110	4.33	25.74	202
61	Tainara	BRA	52	24	71	4.33	35.37	147
61	Jiyun M.	KOR	52	20	59	4.33	39.69	131
62	Hoyoung	KOR	51	18	53	4.25	41.80	122
63	Dong Y. H.	CHN	49	14	64	4.45	38.58	127
63	Cekulaev	GER	49	16	50	4.08	42.61	115
64	Gryka	POL	48	12	26	4.00	55.81	86
65	Diana	BRA	46	9	29	4.60	54.76	84
66	Verhelst	BEL	45	16	64	3.75	36.00	125
67	Sylves	FRA	44	16	36	3.67	45.83	96
67	Marinova	BUL	44	17	63	5.50	35.48	124
68	Sylla	ITA	43	16	55	5.38	37.72	114
69	S. Sahin	TUR	42	14	48	3.50	40.38	104
69	Nervini	ITA	42	11	56	5.25	38.53	109
70	Van Avermaet	BEL	41	13	50	5.12	39.42	104
71	Rettke	USA	40	3	31	5.71	54.05	74
72	Fanguedou	FRA	39	14	29	3.25	47.56	82
72	K.Ajcharaporn	THA	39	24	66	3.55	30.23	129
72	T. Wimonrat	THA	39	16	32	3.55	44.83	87
72	Igiede	USA	39	11	33	4.88	46.99	83
73	S. Donphon	THA	38	12	53	3.45	36.89	103
73	Lednicky	USA	38	22	37	4.75	39.18	97
73	Danesi	ITA	38	8	30	3.17	50.00	76
73	Schölzel	GER	38	3	19	3.17	63.33	60
74	Damaske	POL	37	13	29	3.08	46.84	79
74	Stanchulova	BUL	37	21	76	3.08	27.61	134
75	Grozer	GER	36	26	82	4.50	25.00	144
76	Airi	JPN	35	8	32	2.92	46.67	75
76	Koulisiani	CZE	35	14	45	2.92	37.23	94
77	Lorena	BRA	34	6	20	2.83	56.67	60
78	Tang X.	CHN	33	11	40	3.30	39.29	84
78	Piasecka	POL	33	13	51	4.12	34.02	97
78	Stigrot	GER	33	10	49	8.25	35.87	92
79	Deniz	TUR	32	10	21	2.67	50.79	63
79	J. Sasipapron	THA	32	12	29	3.20	43.84	73
79	Chen H. Y.	CHN	32	8	22	2.91	51.61	62
79	Svobodova	CZE	32	14	34	2.67	40.00	80
80	Demeyer	BEL	31	12	47	2.58	34.44	90
81	Rosamaria	BRA	30	7	43	5.00	37.50	80
82	Baijens	NED	29	4	21	7.25	53.70	54
83	Koulberg	BEL	28	10	23	2.33	45.90	61
83	Matos	DOM	28	21	57	2.33	26.42	106
84	Krivoshiyska	BUL	27	9	42	3.38	34.62	78
85	Giovannini	ITA	26	12	31	2.17	37.68	69
86	Ozden	TUR	25	1	12	3.12	65.79	38
87	Kalaç	TUR	24	6	26	2.00	42.86	56
87	Gerritsen	NED	24	4	32	2.00	40.00	60
87	Akimoto	JPN	24	10	27	2.18	39.34	61
87	Racheva	BUL	24	12	32	2.00	35.29	68
87	Yunju	KOR	24	13	53	2.00	26.67	90
88	Stautz	GER	22	6	32	1.83	36.67	60
89	Schalk	FRA	21	21	53	1.91	22.11	95
89	Ten Brinke	NED	21	3	7	1.75	67.74	31
89	Yamada	JPN	21	8	38	1.75	31.34	67
89	Omoruyi	ITA	21	7	19	2.62	44.68	47
90	Malual	ITA	20	1	11	2.50	62.50	32
90	Jheovana	BRA	20	18	17	2.00	36.36	55
91	Wang A. Q.	CHN	19	3	7	2.11	65.52	29
91	Centka-Tietianiec	POL	19	8	13	2.38	47.50	40
92	Babcock	USA	18	11	25	2.25	33.33	54
92	Güneş	TUR	18	8	22	2.25	37.50	48
92	Butler	USA	18	8	15	2.57	43.90	41
92	Kitamado	JPN	18	5	15	2.57	47.37	38
92	Orthmann	GER	18	9	46	4.50	24.66	73
92	Jack-Kisal	TUR	18	7	23	4.50	37.50	48
93	Różański	POL	17	10	20	4.25	36.17	47
93	Orro	ITA	17	3	11	2.12	54.84	31
93	Nwakalor L.	ITA	17	3	7	1.42	62.96	27
93	Arias	DOM	17	6	13	2.83	47.22	36
93	Jimerson	USA	17	3	10	5.67	56.67	30
94	McCage	USA	15	5	11	1.88	48.39	31
94	Gonzalez	DOM	15	6	20	1.25	36.59	41
94	Osmajic	SRB	15	7	18	1.25	37.50	40
94	Mijatović	SRB	15	12	27	2.50	27.78	54
94	A. Saykova	BUL	15	11	17	1.88	34.88	43
94	Jurczyk	POL	15	3	16	1.88	44.12	34
94	Samedy	USA	15	3	18	5.00	41.67	36
95	B. Hattaya	THA	14	2	15	2.33	45.16	31
95	Pierzchała	POL	14	0	7	3.50	66.67	21
95	Araki	JPN	14	3	6	1.17	60.87	23
95	Jones-Perry	USA	14	10	24	1.40	29.17	48
95	Valkova	CZE	14	2	18	1.17	41.18	34
95	Tabacuks	GER	14	9	25	3.50	29.17	48
96	Van Sas	BEL	13	5	20	1.08	34.21	38
97	Cebecioğlu	TUR	12	7	12	1.50	38.71	31
97	Van Aalen	NED	12	0	18	1.00	40.00	30
97	White	CAN	12	6	7	1.33	48.00	25
98	G. Pornpun	THA	11	1	11	1.00	47.83	23
98	Fransen	BEL	11	1	9	0.92	52.38	21
98	A. Rodriguez	DOM	11	4	14	0.92	37.93	29
99	M. Chatchu-On	THA	10	2	25	1.43	27.03	37
99	Slavcheva	BUL	10	1	15	0.83	38.46	26
99	Strubbe	GER	10	6	5	0.83	47.62	21
99	Straube	GER	10	1	16	0.83	37.04	27
100	Diken	TUR	9	6	24	0.90	23.08	39
100	Cambi	ITA	9	2	6	0.75	52.94	17
100	Heredia	DOM	9	9	13	2.25	29.03	31
101	Özdemir	TUR	8	1	11	1.00	40.00	20
101	Wan Z. Y.	CHN	8	2	7	0.73	47.06	17
101	Mirković	SRB	8	2	10	0.67	40.00	20
101	Helena	BRA	8	4	11	0.73	34.78	23
101	Surinx	CAN	8	6	8	1.00	36.36	22
101	Juah	KOR	8	2	9	0.67	42.11	19
102	E. Şahin	TUR	7	1	10	0.58	38.89	18
102	H. Jasper	NED	7	2	7	0.78	43.75	16
102	Tapia	DOM	7	5	19	0.88	22.58	31
102	Zelenovic	SRB	7	1	3	1.75	63.64	11
102	Jansen	NED	7	3	7	1.75	41.18	17
103	Zhang Z.X.	CHN	6	1	13	0.55	30.00	20
103	Nagels	BEL	6	1	2	0.50	66.67	9
103	Perović	SRB	6	1	7	0.60	42.86	14
103	Kitipova	BUL	6	3	15	0.75	25.00	24
103	Pelland	CAN	6	1	8	0.55	40.00	15
103	Gicquel	FRA	6	7	15	0.75	21.43	28
103	Tica	SRB	6	7	19	1.00	18.75	32
103	Milenković	SRB	6	2	14	1.20	27.27	22
103	Elouga	FRA	6	2	6	1.50	42.86	14
104	Depie	FRA	5	4	7	1.67	31.25	16
104	Danard Selosse	FRA	5	1	12	0.42	27.78	18
104	Jua	KOR	5	14	18	0.42	13.51	37
104	K. Kanyarat	THA	5	1	1	1.00	71.43	7
105	Ngolongolo	FRA	4	1	4	0.33	44.44	9
105	Powell	USA	4	0	6	1.00	40.00	10
105	Macris	BRA	4	0	12	0.33	25.00	16
105	Roberta	BRA	4	0	4	0.33	50.00	8
105	Nikolova M.	BUL	4	5	7	0.50	25.00	16
105	Dain	KOR	4	3	2	0.36	44.44	9
105	Sebeen	KOR	4	0	2	0.33	66.67	6
105	Jatzko	GER	4	3	12	1.00	21.05	19
105	O'Neal	USA	4	2	2	1.33	50.00	8
105	Cuttino	USA	4	3	11	4.00	22.22	18
106	Diouf	FRA	3	1	6	0.75	30.00	10
106	Grabka	POL	3	0	3	0.25	50.00	6
106	Kuipers	NED	3	1	4	0.38	37.50	8
106	Seki	JPN	3	0	5	0.25	37.50	8
106	Dodson	USA	3	1	2	0.75	50.00	6
106	Kaahaaina-Torres	USA	3	0	5	0.38	37.50	8
106	Kneiflova	CZE	3	3	5	0.25	27.27	11
106	Jedlickova	CZE	3	0	1	0.38	75.00	4
106	Grabovska	CZE	3	0	3	0.25	50.00	6
106	Luzia	BRA	3	0	0	0.30	100.00	3
106	Dudova	BUL	3	3	14	0.75	15.00	20
106	Andrews	CAN	3	1	0	0.50	75.00	4
106	Borowski	CAN	3	1	12	0.33	18.75	16
106	Özbay	TUR	3	1	2	0.75	50.00	6
106	Čajić	SRB	3	3	5	1.00	27.27	11
107	Wenerska	POL	2	0	4	0.17	33.33	6
107	Yang S. M.	CHN	2	0	3	0.22	40.00	5
107	Van Elsen	BEL	2	2	5	0.17	22.22	9
107	Fukazawa	JPN	2	1	2	0.17	40.00	5
107	Puente	DOM	2	0	5	0.17	28.57	7
107	Caraballo	DOM	2	1	4	0.17	28.57	7
107	Kirov	SRB	2	2	4	0.17	25.00	8
107	Brie	CAN	2	2	0	0.50	50.00	4
107	Çürük	TUR	2	1	2	0.67	40.00	5
107	Pezelj	FRA	2	1	3	2.00	33.33	6
107	Eze	ITA	2	0	2	0.50	50.00	4
107	Terrero	DOM	2	1	5	0.50	25.00	8
108	Mayer	FRA	1	1	3	0.12	20.00	5
108	Zou J.Q.	CHN	1	0	1	0.12	50.00	2
108	S. Gray	USA	1	1	2	0.25	25.00	4
108	Glaab	GER	1	0	2	0.12	33.33	3
108	K. Kuttika	THA	1	0	3	0.25	25.00	4
108	Poulter	USA	1	3	9	0.20	7.69	13
108	Blanc	FRA	1	0	0	1.00	100.00	1
108	Allard	CAN	1	0	0	0.14	100.00	1
108	Kästner	GER	1	0	3	0.25	25.00	4
108	De la Rosa	DOM	1	0	0	0.25	100.00	1
109	Respaut	FRA	0	0	0			0
109	Biemel	FRA	0	0	0			0
109	Gelin	FRA	0	0	0			0
109	Aköz	TUR	0	0	0			0
109	Akyol	TUR	0	0	1	0.00	0.00	1
109	Yatgın	TUR	0	0	0			0
109	P. Piyanut	THA	0	0	0			0
109	N. Jidapa	THA	0	0	0			0
109	J. Natthanicha	THA	0	2	3	0.00	0.00	5
109	Szczygłowska	POL	0	0	0			0
109	Stefanik	POL	0	0	0			0
109	Łysiak	POL	0	0	0			0
109	Shan L. Q.	CHN	0	0	0			0
109	Ni F.F.	CHN	0	0	0			0
109	Wang M.J.	CHN	0	0	0			0
109	Debouck	BEL	0	0	0			0
109	Rampelberg	BEL	0	0	0			0
109	Lyklema	NED	0	0	0			0
109	Reesink	NED	0	0	0			0
109	Kojima	JPN	0	0	0			0
109	Iwasawa	JPN	0	0	0			0
109	Nishimura	JPN	0	0	0			0
109	Tsukasa	JPN	0	0	2	0.00	0.00	2
109	Hentz	USA	0	0	0			0
109	Jarvis	USA	0	0	0			0
109	De Gennaro	ITA	0	0	0			0
109	Fersino	ITA	0	0	0			0
109	Y. Rodriguez	DOM	0	0	0			0
109	Marte	DOM	0	0	0			0
109	L. Martinez	DOM	0	0	0			0
109	Jegdić	SRB	0	0	0			0
109	Milojevic	SRB	0	0	0			0
109	Gocanin	SRB	0	0	0			0
109	Digrinova	CZE	0	0	0			0
109	Dostalova	CZE	0	0	0			0
109	Dite	CZE	0	0	3	0.00	0.00	3
109	Aline	BRA	0	0	0			0
109	Kika	BRA	0	0	0			0
109	Lais	BRA	0	0	0			0
109	Naneva	BUL	0	0	0			0
109	Karabasheva	BUL	0	0	0			0
109	Ninova	BUL	0	0	0			0
109	Watson	CAN	0	0	0			0
109	Murmann	CAN	0	0	0			0
109	Jost	CAN	0	0	0			0
109	Dahye	KOR	0	0	0			0
109	Sarang	KOR	0	0	0			0
109	Sujin	KOR	0	0	0			0
109	Cesar	GER	0	0	0			0
109	Pogany	GER	0	0	0			0
109	Lanna	BRA	0	0	0			0
109	Tamaki	JPN	0	0	0			0
109	K.Kalyarat	THA	0	0	0			0
109	Nonaka	JPN	0	0	0			0
109	Daeun	KOR	0	0	2	0.00	0.00	2
109	Sartori	ITA	0	0	0			0
109	Fukudome	JPN	0	0	0			0
109	Shiode	JPN	0	0	0			0
109	Nishizaki	JPN	0	0	0			0
109	Georgiadis	CAN	0	0	0			0
109	Giardino	FRA	0	0	0			0
109	Stojiljkovic	FRA	0	0	1	0.00	0.00	1
109	Konijnenberg	NED	0	0	0			0
109	Schut	NED	0	2	2	0.00	0.00	4
109	Wessels	NED	0	0	0			0
109	Örge	TUR	0	0	0			0
109	Rodriguez	USA	0	0	0			0
109	S. Kanokporn	THA	0	0	0			0
109	Kawabata	JPN	0	0	0			0
109	Fairbanks	USA	0	0	0			0
109	Pušić	SRB	0	0	0			0
109	Pavlova	CZE	0	0	0			0
109	Kolarova	CZE	0	0	0			0
109	Rejmanova	CZE	0	1	0	0.00	0.00	1
109	Gray	ITA	0	0	0			0
109	Bertels	BEL	0	0	0			0
109	Krenicky	BEL	0	0	0			0
109	Yin X. L.	CHN	0	0	0			0
109	Fan B. N.	CHN	0	0	0			0
109	Guncheva	BUL	0	0	1	0.00	0.00	1
109	Pashkuleva	BUL	0	0	0			0
109	Nikolova	BUL	0	0	0			0
109	Kisy	BRA	0	0	2	0.00	0.00	2
109	Marcelle	BRA	0	0	0			0
109	Hamming	NED	0	0	0			0
109	Miljevic	SRB	0	0	0			0
109	Mims	USA	0	0	0			0
